City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,hotan,37.1126842,79.9111626,12.94,52,10,0.69,CN,2024-09-30
261,vila velha,-20.3297037,-40.2920174,24.97,89,40,4.12,BR,2024-09-30
262,irymple,-34.235623,142.1704328,7.3,81,5,3.15,AU,2024-09-30
263,luwuk,-0.9528231,122.7880198,22.41,81,67,1.62,ID,2024-09-30
264,okondja,-0.655465,13.682713,23.39,88,97,0.9,GA,2024-09-30
265,byron bay,-28.6483333,153.6177778,15.85,89,65,5.06,AU,2024-09-30
266,chistopol',55.3714831,50.6367311,13.81,43,90,2.68,RU,2024-09-30
267,tura,47.3900474,0.6889268,15.32,77,0,5.14,FR,2024-09-30
268,camalu,30.8423546,-116.0627449,22.91,62,0,3.87,MX,2024-09-30
269,jackson,32.3086744,-90.1983063,28.86,57,75,3.09,US,2024-09-30
270,san antonio de pale,-1.4046406,5.63255,24.94,83,92,4.73,GQ,2024-09-30
271,kittila,67.651985,24.9095086,2.06,75,20,2.57,FI,2024-09-30
272,island harbour,49.6,-54.3,12.03,89,100,5.95,CA,2024-09-30
273,colonia,50.938361,6.959974,15.49,86,75,4.63,DE,2024-09-30
274,port mathurin,-19.6808372,63.422113,22.51,80,0,9.39,MU,2024-09-30
275,greenville,34.851354,-82.3984882,26.17,66,100,4.63,US,2024-09-30
276,kupang,-10.1632209,123.6017755,26.23,89,7,1.54,ID,2024-09-30
277,buenaventura,40.1766024,-4.8498756,20.08,30,47,2.1,ES,2024-09-30
278,udachny,66.411768,112.2517294,-0.26,99,100,1.39,RU,2024-09-30
279,zaozersk,69.400925,32.441334,1.55,75,5,8.2,RU,2024-09-30
280,bellinzona,46.1920538,9.0205888,14.93,86,6,0.45,CH,2024-09-30
281,dapa,9.7569104,126.051588,27.35,79,100,3.9,PH,2024-09-30
282,kilindoni,-7.9113546,39.6671536,24.91,77,34,4.57,TZ,2024-09-30
283,yagry,64.6174261,39.8261155,5.3,76,7,7.09,RU,2024-09-30
284,arteche,11.6821151,124.8624062,26.64,84,100,2.85,PH,2024-09-30
285,xiulin,24.1201557,121.6260891,22.64,88,100,2.84,TW,2024-09-30
286,xiaoweizhai,26.2292619,107.512855,16.35,91,100,3.31,CN,2024-09-30
287,guerrero negro,27.9709506,-114.036389,24.13,59,99,4.31,MX,2024-09-30
288,pagar alam,-4.0209526,103.2501603,20.57,95,82,0.66,ID,2024-09-30
289,la mira,18.0349695,-102.326584,28.08,78,34,2.58,MX,2024-09-30
290,puerto armuelles,8.2725603,-82.8604458,24.63,88,100,0.45,PA,2024-09-30
291,san carlos de bariloche,-41.1334421,-71.3098425,9.31,53,40,11.83,AR,2024-09-30
292,banda aceh,5.5528455,95.3192908,26.27,85,79,2.39,ID,2024-09-30
293,laojunmiao,33.384109,114.890577,13.65,77,97,4.95,CN,2024-09-30
294,nagqu,31.4786233,92.0498064,3.29,52,2,1.2,CN,2024-09-30
295,qujing,25.4936418,103.7943084,9.74,93,100,7.08,CN,2024-09-30
296,ambalavao,-21.831986,46.9374742,15.99,93,12,1.97,MG,2024-09-30
297,hithadhoo,1.7959425,73.38755195657038,27.34,80,100,4.76,MV,2024-09-30
298,fort stockton,30.891901,-102.883662,33.18,21,0,4.12,US,2024-09-30
299,pailon,-12.7011058,-65.9685362,35.67,34,94,4.0,BO,2024-09-30
300,volodymyrets',51.4197839,26.1392078,7.34,82,100,5.36,UA,2024-09-30
301,phillip island,-38.5074036,145.18848037908447,11.02,86,1,7.92,AU,2024-09-30
302,tukzar,35.9567816,66.428255,14.68,56,76,0.66,AF,2024-09-30
303,prado,41.9203967,-5.4203949,20.04,47,4,4.43,ES,2024-09-30
304,chake chake,-5.2440346,39.7685075,23.46,88,62,2.88,TZ,2024-09-30
305,okuta,9.2192002,3.1966797,23.64,94,28,1.65,NG,2024-09-30
306,buala,-8.145546,159.5930366,26.97,82,15,2.43,SB,2024-09-30
307,mawu,34.430659,104.917589,3.13,63,98,1.42,CN,2024-09-30
308,ma'an,30.2,35.7333329,19.17,56,0,4.18,JO,2024-09-30
309,freeport,42.2966861,-89.6212271,28.06,59,40,2.06,US,2024-09-30
310,peace river,56.2337111,-117.2910839,11.58,43,0,6.17,CA,2024-09-30
311,ploudalmezeau,48.5410278,-4.6576826,12.32,91,100,4.82,FR,2024-09-30
312,sucre,-19.0477251,-65.2594306,26.08,19,8,5.85,BO,2024-09-30
313,kourou,5.1581197,-52.64263,28.56,69,5,4.37,FR,2024-09-30
314,nova sintra,14.871066,-24.6956479,25.26,84,4,3.81,CV,2024-09-30
315,shahr-e babak,30.1191968,55.1243149,18.77,39,2,1.69,IR,2024-09-30
316,mitu,36.1986,46.0868,13.59,39,0,2.39,IR,2024-09-30
317,semnan,35.5855682,53.392129384753915,18.08,36,59,1.11,IR,2024-09-30
318,blackwater,38.9802996,-92.99075,29.86,50,0,0.91,US,2024-09-30
319,itapetininga,-23.588607,-48.048326,32.99,22,1,1.15,BR,2024-09-30
320,tralee,52.2692835,-9.7054085,9.96,93,33,2.23,IE,2024-09-30
321,sadjoavato,-12.633384,49.348969,21.58,87,46,4.33,MG,2024-09-30
322,touros,-5.1998625,-35.4595051,25.32,73,27,8.11,BR,2024-09-30
323,bintulu,3.1874261,113.0472803,25.23,94,40,2.24,MY,2024-09-30
324,brandon,46.35270835,4.577608667704116,14.59,83,100,1.43,FR,2024-09-30
325,viqueque,-8.8671522,126.3643974,22.91,90,49,1.44,TL,2024-09-30
326,khorixas,-20.37384,14.960421,16.3,39,0,2.83,NA,2024-09-30
327,horta,38.5368032,-28.630109,24.58,94,40,6.69,PT,2024-09-30
328,sao francisco,37.7790262,-122.419906,32.48,38,0,2.49,US,2024-09-30
329,chodavaram,17.8296788,82.9344845,25.48,92,43,1.07,IN,2024-09-30
